epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,322.713,0.58478,6.3879,0.89198,0.78451,0.26,0.46751,0.36054,1.03161,4.93369,1.06599,0.000475281,0.000475281,0.000475281
22,337.644,0.77167,2.75308,1.17141,0.97968,0.14,0.38987,0.3325,1.05963,4.81146,1.09738,0.000492037,0.000492037,0.000492037
23,352.405,0.7643,2.2805,1.16828,0.75616,0.19318,0.41657,0.33413,1.07597,4.79456,1.10463,0.000508227,0.000508227,0.000508227
24,367.188,0.9392,1.94873,1.41428,0.76307,0.26,0.39469,0.31636,1.1018,4.81351,1.12228,0.000523851,0.000523851,0.000523851
25,382.804,0.8033,1.91889,1.17134,0.5578,0.26,0.41655,0.32868,1.08939,4.7742,1.14093,0.00053891,0.00053891,0.00053891
26,398.216,0.80101,2.62985,1.30215,0.56518,0.22667,0.41263,0.32778,1.11189,4.75663,1.17459,0.000537285,0.000537285,0.000537285
27,413.34,0.81948,1.86583,1.14823,0.36364,0.43171,0.41003,0.33194,1.13497,4.70929,1.22743,0.000530216,0.000530216,0.000530216
28,428.387,0.73611,1.99254,1.19525,0.31938,0.43255,0.42032,0.32794,1.17448,4.70028,1.28272,0.000523148,0.000523148,0.000523148
29,443.225,0.75183,1.82934,1.17266,0.45477,0.39255,0.46852,0.37794,1.17647,4.61929,1.25743,0.000516079,0.000516079,0.000516079
30,458.012,0.96138,2.22502,1.3475,0.72623,0.38667,0.48536,0.38317,1.23011,4.52862,1.28651,0.000509011,0.000509011,0.000509011
31,472.859,1.10665,3.72449,1.2477,0.53473,0.40442,0.51437,0.39927,1.25789,4.44268,1.32181,0.000501942,0.000501942,0.000501942
32,487.529,0.84879,2.20314,1.39815,0.54387,0.53846,0.49499,0.37773,1.27243,4.37096,1.33726,0.000494873,0.000494873,0.000494873
33,502.26,0.82308,1.89267,1.28176,0.82125,0.41545,0.61075,0.4567,1.26831,4.29126,1.2993,0.000487805,0.000487805,0.000487805
34,517.139,0.7483,1.57993,1.12133,0.95053,0.43718,0.62282,0.45704,1.2627,4.2251,1.30021,0.000480736,0.000480736,0.000480736
35,531.815,0.68469,1.81289,1.04297,0.93824,0.41719,0.62574,0.47211,1.21327,4.08156,1.2706,0.000473668,0.000473668,0.000473668
36,546.425,0.76007,1.99625,1.11591,0.90617,0.32667,0.55351,0.40043,1.13256,4.09379,1.21685,0.000466599,0.000466599,0.000466599
37,560.995,0.78742,1.61331,1.15486,0.82652,0.32667,0.53682,0.40225,1.10772,4.11678,1.23114,0.00045953,0.00045953,0.00045953
38,576.513,0.75969,1.637,1.13373,0.68709,0.36667,0.48434,0.3847,1.10751,4.23205,1.25636,0.000452462,0.000452462,0.000452462
39,591.114,0.81357,2.12441,1.15468,0.69633,0.43333,0.49685,0.36477,1.18729,4.20735,1.31104,0.000445393,0.000445393,0.000445393
40,605.622,0.77934,1.68421,1.16403,0.74735,0.43333,0.56613,0.4012,1.25757,4.19107,1.34532,0.000438325,0.000438325,0.000438325
41,620.124,0.73988,1.50888,1.09121,0.72377,0.43333,0.60413,0.44549,1.26802,4.0765,1.35135,0.000431256,0.000431256,0.000431256
